id,brand,name,price,currency,category,created_at,description
1048,colourpop,Lippie Pencil,5.0,CAD,lip pencil,2018-07-08T23:45:08.056Z,"Lippie Pencil A long-wearing and high-intensity lip pencil that glides on easily and prevents feathering. Many of our Lippie Stix have a coordinating Lippie Pencil designed to compliment it perfectly, but feel free to mix and match!"
1047,colourpop,Blotted Lip,5.5,CAD,lipstick,2018-07-08T22:01:20.178Z,"Blotted Lip Sheer matte lipstick that creates the perfect popsicle pout! Formula is lightweight, matte and buildable for light to medium coverage."
1046,colourpop,Lippie Stix,5.5,CAD,lipstick,2018-07-08T21:47:49.858Z,"Lippie Stix Formula contains Vitamin E, Mango, Avocado, and Shea butter for added comfort and moisture. None of our Lippie formulas contain any nasty ingredients like Parabens or Sulfates."
1044,boosh,Lipstick,26.0,CAD,lipstick,2018-07-08T17:32:28.088Z,"All of our products are free from lead and heavy metals, parabens, phthalates, artificial colourants, and synthetic fragrances.  Boosh lipstick glides on smoothly for clean & protective SPF coverage. They are filled with hydrating oils and butters to preserve and enhance your lips natural surface. Organic sweet orange oil gives a light and cheerful scent."
1039,w3llpeople, Realist Invisible Setting Powder,0.0,USD,powder,2018-06-30T19:19:32.191Z,"<span style=""font-weight: 400;"">Keep it real with a polished, soft-focus look using this superfine, loose mineral powder. The healing properties of organic aloe help soothe and calm stressed out skin. Instantly minimize pores, soften imperfections, and creates a matte finish with superfine powder. Use by itself for an air-brushed look, or to set foundation for ultra-long wear.</span><span style=""font-weight: 400;"">* Set makeup or by itself for matte air-brushed effect</span><span style=""font-weight: 400;"">* Absorbs excess oil while softening fine lines</span><span style=""font-weight: 400;"">* Organic aloe creates radiant, rejuvenated skin</span><span style=""font-weight: 400;"">* Hypoallergenic, Chemical Free, Cruelty Free &amp; Noncomedogenic </span><span style=""font-weight: 400;"">* EWG Verified for non-toxic health and safety</span><span style=""font-weight: 400;"">* Free From: Parabens, Gluten, GMO, Phthalates, Sulfates, Fragrance, Pheonoxyethanol, Dimethicone, PEG, Propylene Glycol, Butylene Glycol, Lead, Mineral Oil, Talc</span>"
1035,rejuva minerals,Multi Purpose Powder - Blush & Eye,0.0,USD,powder,2018-06-30T19:19:31.909Z,"Our Multi Purpose Pressed Powders may be used for blush or eye shadow. Blended with antioxidants from Certified Organic Fruits, Berries &amp; Botanicals*. Made without any gluten containing ingredients. Mica free Pink Parfait and Papaya will offer a natural, ultra sheer semi-matte finish. The petals from beautiful crushed red roses that are found in Pink Parfait, are valued for their natural color and delightful aroma that they provide! Acai Berry will offer a natural, ultra sheer satin finish (mica added). VEGAN. Image one is Pink Parfait. Image two is Papaya, and image three is Acai Berry. Model in image four is wearing Papaya. Model in image five is wearing Acai Berry. To see a demonstration of Papaya, click on the video and fast forward to 3:44. Enjoy! This product is EWG VERIFIED&#x2122; and rated 'CLEAN'in the Think Dirty app! BPA and Phthalate free packaging. Plastic parts of compacts are recyclable. *Tiny flecks of fruit and botanical particles may be visible in powder. Pink Parfait and Papaya are Titanium Dioxide and Mica free. Net Weight: 2.8 gm."
1033,rejuva minerals,Pressed Powder Foundation,0.0,USD,powder,2018-06-30T19:19:31.736Z,"Coconut Cream - Warm Undertones (yellow) Light Shade. May also be used as a highlighting shade! About our pressed foundations:<ul><li>Provides a silky smooth, natural 'semi-matte' finish</li><li>All skin types</li><li>Will not dry out skin (apply light moisturizer underneath for best results)</li><li>Resists caking and settling in lines and pores</li><li>Layers to provide a light-medium (buildable) coverage</li><li>Eco-friendly, biodegradable compact</li><li>Colored with minerals and enhanced with organic fruits and botanicals</li><li>Infused with conditioning organic jojoba oil</li><li>Formulated without common skin irritants.</li></ul>"
1032,rejuva minerals,Bronzer - loose,0.0,USD,powder,2018-06-30T19:19:31.682Z,"Caribbean is a multi-purpose shade that is suitable for medium-tan skin tones. This shade may be used as a bronzer, or as a contour shade. <ul><li>Our bronzer has been enhanced with Fruits, Botanicals and Clays for their natural color, fragrance and antioxidant benefits!</li><li>Blended with Certified Organics Fruits and Botanicals</li><li>Formulated with common skin irritants.</li><li>Our bronzer will offer a natural “ultra sheer” semi-matte finish.</li><li>Made without any gluten containing ingredients</li><li>VEGAN!</li><li>Eco Friendly jars!</li></ul>"
1031,rejuva minerals,Bronzer - pressed,0.0,USD,powder,2018-06-30T19:19:31.624Z,"Our bronzer has been enhanced with Fruits, Botanicals and Clays for their natural color, fragrance and antioxidant benefits! Blended with Certified Organics Fruits and Botanicals Formulated with common skin irritants. Our bronzer will offer a natural 'ultra sheer' semi-matte finish. Made without any gluten containing ingredients VEGAN! Eco Friendly jars!"
1029,nudus,Amalia,0.0,USD,lipstick,2018-06-30T19:19:31.441Z,"named after my beautiful mum, delicately pink that displays sophistication. a perfect sheer wash of gorgeous colour that brings a new texture to the lip euphoria range. <strong>lipstick benefits</strong> a unique handcrafted lipstick blended with certified organic ingredients. beautifully pigmented with ancient ayurvedic bioactive colour extracts, leaving your lips soft and deliciously hydrated.<strong>key benefits</strong><ul><li>vitamins, A, B, C, D, E and K</li><li>antioxidants, including pomegranate, raspberry and kiwi cold pressed oils</li><li>27 active natural ingredients, helping against environmental stress</li><li>colours made from flowers, fruits, herbs and minerals</li><li>free from parabens, petro-chemicals, lanolin, hydrogenated oils,fd&amp;c and lake dyes, nano-particles, gmo, pesticides and fungicides</li><li>not tested on animals</li><li>gluten free</li></ul>"
1028,marienatie,Pressed Foundation,0.0,USD,powder,2018-06-30T19:19:31.368Z,A pressed foundation by MarieNatie providing a silky and flawless finish – it provides great coverage and protects skin with SPF 10.  Titanium dioxide acts as an absorbent of oil and jojoba oil helps to cleanse and moisturize the skin.
1026,marienatie,Mineral Blush,0.0,USD,powder,2018-06-30T19:19:31.234Z,Formulated to reduce the appearance of pores while creating a long-lasting natural finish.  This MarieNatie brush protects skin with SPF15.  Sericite mica is great for absorbing oil and won’t clog up pores.  Mica is a natural mineral that helps to enhance the skin tone.
1023,marienatie,Lipstick,0.0,USD,lipstick,2018-06-30T19:19:31.034Z,"A pure and creamy lipstick by MarieNatie formulated with organic jojoba, avocado, and coconut oil which are rich in anti-oxidants and have moisturizing benefits. Enriched with naturally derived organic mango and cocoa butters that will soothe, hydrate and regenerate dry lips."
1020,marienatie,Eyeliner,0.0,USD,lip pencil,2018-06-30T19:19:30.847Z,An eyeliner that offers long lasting colour and a natural smooth finish.  Both jojoba oil and meadowfoam oil have amazing moisturizing properties to help repair skin.  Beeswax is known for its healing properties and will help to improve skin conditions.
1019,maia's mineral galaxy,Mineral Eye Brow Liner Charcoal Brown,0.0,USD,lip pencil,2018-06-30T19:19:30.782Z,No description available
1010,coastal classic creation,Conch Lipstick,0.0,USD,lipstick,2018-06-30T19:19:30.184Z,"Coastal Classic Creations Conch Lipstick is a flattering, stylish, rich winterberry color. This lipstick is paraben-free and vegan and contains sunflower oil which is rich in Vitamin E and which may protect against damage from the sun. To boost the product's effectiveness, we add sesame seed oil which contains Vitamins E, D, and B complex to provide moisture and neutralize free radicals. Companions well with Boysenberry Lip Crayon."
1007,c'est moi,Luminary Lip Crayon,0.0,USD,lip pencil,2018-06-30T19:19:29.975Z,"These nourishing and creamy lip crayons come in 6 perfectly pigmented shades that go from subtle to statement. This easy-to-use lip crayon delivers velvety application and perfectly pigmented color, plus a nourishing formula with a creamy, consistent texture designed to make your lips appear soft and smooth. Apply sparingly for a subtle look, or generously to make a statement—either way, your lips will feel as beautiful as they look! Made for Young Delicate Skin Types NO – Talc, Fragrance, Parabens, Phthalates, Sulfates, Mineral oil or Propylene Glycol Dermatologist Tested Clinically Tested On Sensitive Skin Hypoallergenic"
1006,c'est moi,Fearless Eyeliner,0.0,USD,lip pencil,2018-06-30T19:19:29.910Z,"Make eyes pop with this velvety smooth eyeliner that glides on effortlessly and precisely. Make your eyes pop with this sleek, easy-to-use eyeliner. Formulated with both jojoba seed oil and shea butter, its velvety smooth formula glides on effortlessly and precisely. To sharpen, place inside sharpener and turn the pencil gently to create a working tip. Made for Young Delicate Skin Types NO – Talc, Fragrance, Parabens, Phthalates, Sulfates, Mineral oil or Propylene Glycol  Dermatologist Tested Clinically Tested on Sensitive Skin Hypoallergenic Made with Natural Ingredients"
1004,glossier,Stretch Concealer,22.0,USD,concealer,2017-12-27T03:11:01.369Z,"A traditional concealer sets to a stiff, flat, dry finish—a dead giveaway that you’re wearing it. Ours is a new type of concealer with elastic micro waxes that move with your face instead of caking on top of it, and nourishing oils that give a dewy, glowing finish. The buildable formula covers everything from dark circles to redness and blemishes. In five shades painstakingly developed to enhance, brighten, and—most importantly—completely disappear into the widest range of skin tones."
1002,glossier,Wowder,27.0,USD,powder,2017-12-27T02:50:48.250Z,"It’s not powder, it’s Wowder—for non-dewy days. Wowder will: cut shine, blur the appearance of pores, set makeup, look like skin. Wowder won’t: leave a chalky film, cake into fine lines, flatten skin’s texture, or announce its presence in photographs (no camera flashback). In three sheer, glowy, adaptable shades...because no skin tone is HD-white. Pair with the angelically soft Wowder Brush for all-over and targeted application—perfect size, perfect shape, perfect density for the optimal matte-not-flat finish."
964,nyx,Metallic Eyeliner,8.0,USD,lip pencil,2017-12-24T02:32:24.051Z,"Spend some quality glam time with our Metallic Eyeliners. From copper to rose gold and silver, this creamy-soft pencil is available in six dazzling shades. Each pigment rich eyeliner slides on effortlessly and loads your lids with a metallic-matte finish. Down to the last swipe? Sharpen your go-to hue to uncover more intense color."
963,nyx,Tres Jolie Gel Pencil Liner,12.0,USD,lip pencil,2017-12-24T02:32:22.094Z,Our high-powered twist-up gel liner has the same payoff and precision as a pot without having to use a brush. It comes with a sharpener to ensure precise application every time.
962,nyx,Faux Whites Eye Brightener,8.0,USD,lip pencil,2017-12-24T02:32:20.444Z,"Brighten up those beautiful eyes! Our all-new collection of Faux Whites features a variety of white liners with an exquisite hint of color—from blush, to lavender, and mint. This bouquet of tones may be delicate, yet each one is anything but subtle. Every color glides on velvety-soft and provides a striking matte finish. Pencil the corners of the eyes using these vibrant brighteners for a fresh highlight."
961,nyx,Faux Blacks Eyeliner,8.0,USD,lip pencil,2017-12-24T02:32:19.213Z,"The go-to goodie in every beauty’s makeup bag? A little black liner, of course! Inspired by this enduring essential, the new Faux Blacks collection puts a bold twist on a classic that will forever be a chic choice. Available in eight deep matte shades with a hint of rich color—from midnight blue to dark olive—these striking eyeliners are creamy and go on smooth, which makes drawing a precise line or smudging it out totally simple."
960,nyx,Collection Noir,6.0,USD,lip pencil,2017-12-24T02:32:17.469Z,"Finally a collection of 8 Noir liners to create any dramatic look. This assortment of liners includes 7 of the blackest black liner formulations ranging from matte to glossy. There is even a powder soft brown for more subtle looks. Create dramatic sultry looks, precise cat-eyes, and subtle yet smokey eyes. This sexy dark collection has a liner for everyone’s needs."
959,nyx,Slim Eye Pencil,4.0,USD,lip pencil,2017-12-24T02:32:09.470Z,"Slim, trim, but never prim. Our Slim Eye Pencils come in a variety of entrancing shades—from seafoam green to black shimmer. The creamy long-wearing eye liner formula goes on easily and resists bleeding. Available in 31 stunning shades!"
958,nyx,Retractable Eye Liner,5.0,USD,lip pencil,2017-12-24T02:32:05.574Z,Twist and shout! Renowned for its extreme lasting power this creamy liner delivers intense pigmentation and precise application in an easy twist-up tube that never needs sharpening.
957,nyx,Slide On Pencil,8.0,USD,lip pencil,2017-12-24T02:32:01.071Z,Don’t let the softness of this pencil fool you. This formula doesn't smear or smudge and delivers powerful robust colors. It’s like a liquid eye liner without the mess. Available in 18 sleek shades. Our Slide on Pencils can be sharpened with a sharpener that has an opening for a small pencil. Get your NYX Professional Makeup Sharpener
956,nyx,Jumbo Eye Pencil,4.5,USD,lip pencil,2017-12-24T02:31:53.675Z,No description available
953,nyx,Collection Chocolate,6.0,USD,lip pencil,2017-12-24T02:31:47.604Z,What’s better than a guilt-free treat! Feast your eyes on our Collection Chocolate in 6 of our most delectable liners. The mouthwatering formula is smudge proof and comes in satin matte glossy or liquid.
939,nyx,SFX Setting Powder,10.0,USD,powder,2017-12-24T02:31:31.850Z,No description available
938,nyx,Holographic Halo Finishing Powder,12.0,USD,powder,2017-12-24T02:31:30.972Z,"Glow your own way using Holographic Halo Finishing Powder! This ultra-fine loose powder comes in two pearly shades and delivers an ethereal look that’s crazy gorgeous. Lightly dust it all over your complexion to set and softly illuminate, or along the highest points of the face—like the bridge of the nose, cheekbones or Cupid’s bow—to add a touch of radiance here and there."
937,nyx,Blotting Powder,12.0,USD,powder,2017-12-24T02:31:29.788Z,Kissed with the barest hint of pigment Blotting Powder takes down the shine without settling into fine lines polishing skin to satin matte perfection.
936,nyx,#NOFILTER Finishing Powder,12.0,USD,powder,2017-12-24T02:31:26.988Z,"Introduce us to someone who doesn’t love a good photo filter, and we’ll introduce you to our secret herd of pet unicorns. Our point? When it comes to getting our picture taken, we all love a good filter. That’s why we created #NoFilter Finishing Powder--our amazing new product that delivers a finish as flawless and soft as the most flattering filters on Instagram and beyond."
935,nyx,Color Correcting Powder,10.0,USD,powder,2017-12-24T02:31:25.255Z,Even out your complexion using our ultra-fine translucent loose Color Correcting Powder. This lightweight easy to use powder can be applied before or after your foundation. The paraben and talc-free formula helps you achieve a natural matte finish.
934,nyx,High Definition Finishing Powder Mini,3.5,USD,powder,2017-12-24T02:31:23.561Z,"Your favorite beauty essential is now available in a convenient travel sized mini. A lightweight, translucent finishing powder that helps soften the appearance of fine lines and pores. This silky pressed powder has a fresh matte finish."
933,nyx,Primal Colors,5.0,USD,powder,2017-12-24T02:31:21.681Z,Unleash your inner theatrical makeup artist with these incredible pressed pigments. Creates a variety of special effects with the ultimate staying power.
